"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"441","11230","4","용두4교","Yongdu4gyo(Bridge)","37.5740298","127.0345329"
"442","11545","1","기아대교"," ","37.438745","126.9007836"
"409","11410","2"," "," ","37.5681402","126.9479862"
"412","11350","17","창동교"," ","37.6530076","127.054219"
"446","11140","12","세운교"," ","37.5685905","126.9953388"
"413","11560","35","양평교"," ","37.5398703","126.8879296"
"414","11560","22","양화대교"," ","37.5447931","126.9058792"
"415","11560","23","서강대교"," ","37.5382788","126.9258401"
"417","11200","30"," "," ","37.541703","127.0233237"
"418","11560","24","마포대교"," ","37.5334355","126.9365017"
"329","11200","27","동호대교"," ","37.537752","127.0201671"
"330","11200","28","동호대교"," ","37.5378376","127.0204948"
"331","11200","29"," "," ","37.5419568","127.0232395"
"337","11500","6"," "," ","37.5645421","126.8306402"
"339","11710","25"," "," ","37.5240133","127.1015709"
"341","11710","42","탄천교"," ","37.4936629","127.101716"
"342","11710","44","광평교"," ","37.4891173","127.1075182"
"344","11200","31"," "," ","37.5398791","127.0185365"
"346","11650","20","사방교","Sabanggyo","37.4855246","126.983399"
"347","11650","30"," "," ","37.5218077","127.0177869"
"348","11410","8","홍연2교","Hongyeon 2(i)gyo","37.5778426","126.9309137"
"349","11410","15"," "," ","37.5961734","126.9467536"
"350","11290","6"," "," ","37.6020757","126.9973222"
"351","11680","5","영동4교"," ","37.4878385","127.0563861"
"353","11680","15","탄천1교"," ","37.5002959","127.0823554"
"354","11680","18"," "," ","37.5217044","127.0178706"
"355","11680","19","한남대교"," "," "," "
"356","11680","20"," "," ","37.524189","127.015868"
"357","11680","22","한남대교"," "," "," "
"358","11680","23","한남대교"," "," "," "
"359","11680","24","한남대교"," "," "," "
"360","11620","2"," "," ","37.460924","126.9301118"
"362","11620","7"," "," ","37.4848783","126.9031003"
"363","11215","1"," "," ","37.5291988","127.089427"
"365","11215","9","청담대교"," ","37.5272997","127.064857"
"366","11215","14","군자교"," ","37.5600642","127.072132"
"367","11440","2"," "," ","37.5460228","126.944178"
"369","11440","4"," "," ","37.5469862","126.9411069"
"370","11440","9"," "," ","37.5591525","126.8924667"
"335","11290","12","월계508교"," ","37.6200614","127.0543173"
"338","11500","9"," "," ","37.5822453","126.8125107"
"340","11710","27"," "," ","37.5239225","127.1031859"
"343","11710","1"," "," ","37.4732722","127.1269111"
"345","11560","15"," "," ","37.5384982","126.8992713"
"352","11680","14","탄천교"," ","37.5002516","127.0824874"
"361","11620","4"," "," ","37.4708803","126.977376"
"364","11215","3"," "," ","37.5332694","127.0608651"
"368","11440","3"," "," ","37.5466339","126.9420631"
"371","11440","11"," "," ","37.5589806","126.8927079"
"373","11410","7","증산교","Jeungsangyo","37.5768957","126.9031395"
"375","11110","11","새벽다리"," ","37.5693173","127.000206"
"378","11650","9"," "," ","37.4634905","127.039932"
"379","11650","15","우면교(고가)","Umyeongyo(goga)","37.4735696","127.0303844"
"380","11680","13","탄천1교"," ","37.5001771","127.0827094"
"382","11620","5","도림(관악교)"," ","37.4895817","126.9193488"
"385","11650","6","주암교","Juamgyo","37.4601422","127.0272244"
"386","11650","22","서초2교","Seocho 2(i)gyo","37.4909808","127.023196"
"387","11650","29","영동2교","Yeongdong 2(i)gyo","37.479661","127.0439696"
"388","11410","11","백련교","Baengnyeongyo","37.5825427","126.9371869"
"389","11410","14","홍은교","Hongeungyo","37.5943842","126.9469458"
"391","11290","8","안암제2교"," ","37.5791877","127.0244388"
"521","11170","9"," "," ","37.5145351","126.9965477"
"525","11170","4"," "," ","37.5200994","126.9602932"
"527","11170","2"," "," ","37.5194511","126.9940402"
"529","11440","28","성산대교"," ","37.5526431","126.8916146"
"530","11440","29","가양대교"," ","37.5690572","126.8609416"
"532","11710","35","올림픽대교"," ","37.5342318","127.1036541"
"450","11440","21"," "," ","37.567554","126.916327"
"452","11650","1","신원4교","Sinwon 4(sa)gyo","37.4502605","127.057533"
"453","11650","16","영동1교","Yeongdong 1(il)gyo","37.4745629","127.038665"
"454","11680","1","세곡교"," ","37.465466","127.1006292"
"456","11650","4","세원교","Sewongyo","37.4585098","127.049168"
"457","11350","5","당현4교"," ","37.6382251","127.0594123"
"458","11290","1","보문제3교"," ","37.5805652","127.0232437"
"460","11320","19"," "," ","37.6785524","127.0398521"
"461","11320","34","번창교"," ","37.6423433","127.0317166"
"463","11230","2","용미교","Yongmigyo(Bridge)","37.5725944","127.0279006"
"464","11650","27","주홍교","Juhonggyo","37.509538","127.0161498"
"465","11290","13","보문3교"," ","37.5858625","127.0209302"
"468","11710","18","잠실호수교"," ","37.5098921","127.1029476"
